date,mkt,rf,mktrf,smb,hml
20030102,0.03145,,0.0314,-0.0086,-0.0031
20030103,-0.0010500000000000002,,-0.0011,-0.0042,0.0004
20030106,0.02135,,0.0213,-0.0059,-0.0039
20030107,-0.00625,,-0.0063,0.0028,-0.0016
20030108,-0.01335,,-0.0134,0.001,0.0042
20030109,0.01895,,0.0189,-0.0009,-0.0046
20030110,0.00045000000000000004,,0.0004,0.0005,0.0019
20030113,-0.00115,,-0.0012,0.0013,0.0019
20030114,0.005549999999999999,,0.0055,0.0012,-0.0011
20030115,-0.01315,,-0.0132,0.0068,0.0057
20030116,-0.0033499999999999997,,-0.0034,0.0023,0.002
20030117,-0.013949999999999999,,-0.013999999999999999,-0.0043,0.0064
20030121,-0.01525,,-0.0153,0.0052,-0.0037
20030122,-0.00935,,-0.0094,0.0051,-0.0049
20030123,0.00995,,0.0099,0.0009,-0.0066
20030124,-0.027749999999999997,,-0.0278,0.0049,0.0055
20030127,-0.01645,,-0.0165,0.0022,-0.0014
20030128,0.01265,,0.0126,0.0009,-0.0042
20030129,0.00635,,0.0063,-0.0016,-0.0011
20030130,-0.021249999999999998,,-0.0213,0.0073,-0.0038
20030131,0.01285,,0.0128,-0.003,0.0026
20030203,0.0037500000000000003,,0.0037,-0.0071,-0.001
20030204,-0.01335,,-0.0134,0.0111,-0.002
20030205,-0.00485,,-0.0049,0.0016,0.0004
20030206,-0.006350000000000001,,-0.0064,0.0002,0.0013
20030207,-0.01055,,-0.0106,-0.0045,-0.0023
20030210,0.00695,,0.0069,0.0007,0.0006
20030211,-0.007050000000000001,,-0.0071,0.0032,-0.0032
20030212,-0.012450000000000001,,-0.0125,0.0018,0.0011
20030213,-0.0025499999999999997,,-0.0026,-0.0007,-0.0023
20030214,0.01905,,0.019,-0.0077,-0.0064
20030218,0.01975,,0.0197,-0.0041,-0.0011
20030219,-0.00695,,-0.006999999999999999,-0.003,0.0001
20030220,-0.00825,,-0.0083,0.0087,-0.0014
20030221,0.01315,,0.0131,-0.0013,-0.0004
20030224,-0.01775,,-0.0178,0.0044,-0.0013
20030225,0.007049999999999999,,0.006999999999999999,0.001,-0.0021
20030226,-0.012150000000000001,,-0.0122,0.0014,0.0044
20030227,0.01155,,0.0115,-0.0026,-0.0014
20030228,0.00415,,0.0041,-0.0069,0.0021
20030303,-0.0066500000000000005,,-0.0067,0.0013,0.0043
20030304,-0.01435,,-0.0144,0.0098,-0.0051
20030305,0.00785,,0.0078,-0.0087,0.0002
20030306,-0.00835,,-0.0084,0.0017,0.0003
20030307,0.00765,,0.0076,-0.0067,-0.0016
20030310,-0.023549999999999998,,-0.0236,0.0083,0.0009
20030311,-0.00805,,-0.0081,0.0092,-0.0071
20030312,0.0032500000000000003,,0.0032,-0.0039,-0.0043
20030313,0.03395,,0.0339,-0.0092,-0.0058
20030314,0.0013499999999999999,,0.0013,-0.0048,0.0016
20030317,0.03415,,0.0341,-0.008,-0.0021
20030318,0.00445,,0.0044,0.005,-0.0063
20030319,0.0072499999999999995,,0.0072,-0.0045,-0.0024
20030320,0.00285,,0.0028,0.0009,0.0037
20030321,0.02195,,0.0219,-0.0083,-0.0002
20030324,-0.033549999999999996,,-0.0336,0.0123,0.0016
20030325,0.01215,,0.0121,-0.001,-0.0005
20030326,-0.00545,,-0.0055,-0.0018,-0.003
20030327,-0.00085,,-0.0009,0.0065,-0.0001
20030328,-0.00475,,-0.0048,0.0029,0.0022
20030331,-0.01645,,-0.0165,0.0075,0.0044
20030401,0.01125,,0.0112,-0.0025,0.0025
20030402,0.026050000000000004,,0.026000000000000002,-0.0035,-0.0084
20030403,-0.00485,,-0.0049,0.004,0.0002
20030404,0.00155,,0.0015,-0.0073,0.0039
20030407,0.0018499999999999999,,0.0018,0.0039,0.006
20030408,-0.0023499999999999997,,-0.0024,-0.0029,0.0009
20030409,-0.012750000000000001,,-0.0128,0.0048,0.0079
20030410,0.0052499999999999995,,0.0052,-0.0024,-0.0026
20030411,-0.00315,,-0.0032,0.0003,-0.0003
20030414,0.018850000000000002,,0.0188,-0.0044,0.0003
20030415,0.0062499999999999995,,0.0062,0.0008,-0.004
20030416,-0.01105,,-0.0111,0.0052,0.0013
20030417,0.01525,,0.0152,0.0004,-0.0001
20030421,-0.0010500000000000002,,-0.0011,0.0035,0.0012
20030422,0.02075,,0.0207,-0.0091,0.0022
20030423,0.00895,,0.0089,-0.0026,0.0033
20030424,-0.00805,,-0.0081,0.0058,-0.0023
20030425,-0.012950000000000001,,-0.013000000000000001,0.0066,-0.001
20030428,0.017650000000000002,,0.0176,-0.0006,-0.0012
20030429,0.00345,,0.0034,-0.0024,-0.0025
20030430,0.00035,,0.0003,0.0076,0.0028
20030501,-0.00026,,-0.0003,0.0043,-0.0026
20030502,0.015639999999999998,,0.0156,0.0055,-0.0044
20030505,-0.0018599999999999999,,-0.0019,0.0083,-0.0037
20030506,0.00804,,0.008,-0.0016,0.0007
20030507,-0.00456,,-0.0046,-0.0005,0.0058
20030508,-0.00986,,-0.0099,0.0048,0.0011
20030509,0.01394,,0.0139,0.0013,-0.0019
20030512,0.01254,,0.0125,-0.0012,-0.001
20030513,-0.00226,,-0.0023,0.0046,0.0029
20030514,-0.00226,,-0.0023,0.0029,0.0002
20030515,0.00744,,0.0074,-0.001,-0.0014
20030516,-0.00306,,-0.0031,-0.0159,0.0101
20030519,-0.02296,,-0.023,0.0083,0.0009
20030520,-0.0011599999999999998,,-0.0012,0.0011,-0.001
20030521,0.0041400000000000005,,0.0041,-0.0024,0.0028
20030522,0.00964,,0.0096,-0.0018,-0.0007
20030523,0.00264,,0.0026,0.0028,0.004
20030527,0.01954,,0.0195,0.0048,-0.01
20030528,0.0022400000000000002,,0.0022,0.0072,-0.0037
20030529,-0.0025599999999999998,,-0.0026,0.0103,0.001
20030530,0.01534,,0.0153,0.0024,0.0007
20030602,0.0039499999999999995,,0.0039,-0.0039,0.0076
20030603,0.0039499999999999995,,0.0039,0.0013,-0.0059
20030604,0.01565,,0.0156,0.0015,-0.0002
20030605,0.005549999999999999,,0.0055,0.009000000000000001,-0.0074
20030606,-0.00325,,-0.0033,-0.0018,-0.0032
20030609,-0.01305,,-0.0131,-0.0023,0.0013
20030610,0.00955,,0.0095,0.0039,0.001
20030611,0.01295,,0.0129,-0.0047,0.0039
20030612,0.0018499999999999999,,0.0018,0.0005,0.0034
20030613,-0.010150000000000001,,-0.0102,-0.0019,0.001
20030616,0.02155,,0.0215,-0.0041,-0.0051
20030617,0.0013499999999999999,,0.0013,0.0022,-0.0011
20030618,-0.0014500000000000001,,-0.0015,0.0032,-0.0023
20030619,-0.01485,,-0.0149,0.0003,0.0071
20030620,0.00055,,0.0005,-0.0019,0.001
20030623,-0.01515,,-0.0152,-0.006,0.0022
20030624,0.00195,,0.0019,0.0007,0.0013
20030625,-0.00595,,-0.006,0.0107,-0.0007
20030626,0.01125,,0.0112,0.0042,-0.0052
20030627,-0.00835,,-0.0084,0.006,0.0022
20030630,-0.00165,,-0.0017,-0.0012,0.0042
20030701,0.00733,,0.0073,-0.0036,-0.0012
20030702,0.012830000000000001,,0.0128,0.0106,0.0006
20030703,-0.00717,,-0.0072,0.0026,-0.0007
20030707,0.019129999999999998,,0.0191,-0.0009,0.0027
20030708,0.00513,,0.0051,0.0131,-0.0003
20030709,-0.0033699999999999997,,-0.0034,0.0103,0.0027
20030710,-0.013269999999999999,,-0.0133,-0.0007,-0.0023
20030711,0.00923,,0.0092,0.0008,-0.0006
20030714,0.00733,,0.0073,0.0019,0.0014
20030715,-0.004070000000000001,,-0.0041,0.0007,-0.0005
20030716,-0.006370000000000001,,-0.0064,0.0025,-0.0026
20030717,-0.01447,,-0.0145,-0.0129,-0.0042
20030718,0.010830000000000001,,0.0108,-0.0014,0.0004
20030721,-0.01417,,-0.0142,0.0004,-0.0037
20030722,0.00973,,0.0097,0.0033,0.0034
20030723,0.00183,,0.0018,0.0063,-0.0098
20030724,-0.00647,,-0.0065,0.0033,0.004
20030725,0.015130000000000001,,0.0151,-0.0064,-0.0025
20030728,-0.00017,,-0.0002,0.0098,0.0038
20030729,-0.0056700000000000006,,-0.0057,0.0054,-0.0001
20030730,-0.0017699999999999999,,-0.0018,0.0026,-0.0062
20030731,0.0032300000000000002,,0.0032,0.0026,0.004
20030801,-0.01057,,-0.0106,-0.0049,-0.0006
20030804,0.0011300000000000001,,0.0011,-0.0066,-0.003
20030805,-0.017070000000000002,,-0.0171,0.0037,0.0001
20030806,0.00023,,0.0002,-0.0106,0.0044
20030807,0.00573,,0.0057,-0.0055,-0.0053
20030808,0.00333,,0.0033,-0.0043,0.0018
20030811,0.00433,,0.0043,0.0074,-0.0001
20030812,0.01093,,0.0109,0.005,0.0005
20030813,-0.0049700000000000005,,-0.005,0.0069,0.0008
20030814,0.006229999999999999,,0.0062,0.0012,0.0042
20030815,0.00103,,0.001,0.0018,-0.0014
20030818,0.01033,,0.0103,0.0089,0.0014
20030819,0.00433,,0.0043,0.0096,0.0059
20030820,-0.00137,,-0.0014,0.0032,0.0005
20030821,0.00473,,0.0047,0.0065,0.0045
20030822,-0.01057,,-0.0106,-0.0057,0.0013
20030825,-0.00037,,-0.0004,-0.0008,-0.0032
20030826,0.00293,,0.0029,0.0018,0.002
20030827,0.00173,,0.0017,0.0085,0.001
20030828,0.007029999999999999,,0.006999999999999999,0.0025,0.0021
20030829,0.00533,,0.0053,-0.0031,0.0034
20030902,0.014039999999999999,,0.013999999999999999,0.0049,0.0003
20030903,0.00424,,0.0042,0.003,0.0013
20030904,0.0022400000000000002,,0.0022,0.0046,-0.0017
20030905,-0.00616,,-0.0062,-0.0003,0.0022
20030908,0.01074,,0.0107,0.0063,-0.0012
20030909,-0.00786,,-0.0079,0.0035,-0.002
20030910,-0.01366,,-0.0137,-0.0067,-0.0063
20030911,0.00624,,0.0062,0.0066,0.0004
20030912,0.00234,,0.0023,0.0015,0.0015
20030915,-0.00346,,-0.0035,0.0024,-0.0007
20030916,0.014039999999999999,,0.013999999999999999,0.001,0.0007
20030917,-0.0025599999999999998,,-0.0026,0.0018,0.0017
20030918,0.01254,,0.0125,-0.0056,0.0025
20030919,-0.00226,,-0.0023,0.005,0.0002
20030922,-0.012960000000000001,,-0.013000000000000001,0.0017,0.0014
20030923,0.00654,,0.0065,0.0057,-0.0008
20030924,-0.018760000000000002,,-0.0188,-0.0021,0.0007
20030925,-0.00806,,-0.0081,-0.0166,-0.0022
20030926,-0.00836,,-0.0084,-0.0127,0.0002
20030929,0.00984,,0.0098,0.0054,0.0004
20030930,-0.009559999999999999,,-0.0096,-0.0005,0.0015
20031001,0.02163,,0.0216,0.0039,0.0009
20031002,0.00313,,0.0031,0.0015,0.0009
20031003,0.010230000000000001,,0.0102,0.0069,0.0
20031006,0.0049299999999999995,,0.0049,0.0037,0.0038
20031007,0.00513,,0.0051,0.0035,0.0011
20031008,-0.00477,,-0.0048,-0.0029,0.002
20031009,0.005529999999999999,,0.0055,0.0028,0.0039
20031010,-0.0007700000000000001,,-0.0008,-0.0039,0.0043
20031013,0.00813,,0.0081,0.0078,0.0009
20031014,0.00443,,0.0044,0.0048,0.0016
20031015,-0.00357,,-0.0036,-0.0027,-0.0004
20031016,0.00353,,0.0035,0.0012,0.0005
20031017,-0.01107,,-0.0111,-0.005,0.0007
20031020,0.00413,,0.0041,-0.0013,-0.0026
20031021,0.00243,,0.0024,0.0068,-0.003
20031022,-0.01517,,-0.0152,-0.0068,-0.0002
20031023,0.00223,,0.0022,-0.0073,-0.0023
20031024,-0.00447,,-0.0045,-0.0044,-0.0003
20031027,0.00403,,0.004,0.0117,0.0031
20031028,0.01593,,0.0159,0.005,-0.0022
20031029,0.00283,,0.0028,0.0079,0.0034
20031030,-0.00107,,-0.0011,-0.0011,0.0027
20031031,0.00283,,0.0028,-0.0054,-0.0009
20031103,0.00934,,0.0093,0.0067,0.004
20031104,-0.0044599999999999996,,-0.0045,0.0078,0.0044
20031105,-0.00036,,-0.0004,0.0025,-0.0008
20031106,0.00584,,0.0058,0.0013,0.0012
20031107,-0.00326,,-0.0033,0.0036,0.0031
20031110,-0.00736,,-0.0074,-0.0102,-0.0003
20031111,-0.0020599999999999998,,-0.0021,-0.0057,-0.001
20031112,0.01334,,0.0133,0.0102,-0.0019
20031113,0.00033999999999999997,,0.0003,0.0019,-0.0022
20031114,-0.00826,,-0.0083,-0.0063,-0.0009
20031117,-0.00716,,-0.0072,-0.0067,-0.002
20031118,-0.00866,,-0.0087,0.0011,0.0009
20031119,0.00764,,0.0076,0.0006,-0.0003
20031120,-0.00766,,-0.0077,0.0012,0.0003
20031121,0.00214,,0.0021,0.0016,0.0061
20031124,0.01714,,0.0171,0.0076,0.0
20031125,0.00314,,0.0031,0.0025,0.0059
20031126,0.00404,,0.004,-0.0006,0.0042
20031128,0.0011400000000000002,,0.0011,0.0027,-0.0015
20031201,0.01114,,0.0111,0.0039,-0.0012
20031202,-0.00266,,-0.0027,0.0013,0.0013
20031203,-0.0033599999999999997,,-0.0034,-0.0121,0.0042
20031204,0.00264,,0.0026,-0.0043,-0.0026
20031205,-0.00786,,-0.0079,-0.0008,-0.0008
20031208,0.00654,,0.0065,-0.0018,0.0036
20031209,-0.00946,,-0.0095,-0.0062,0.0018
20031210,-0.0028599999999999997,,-0.0029,-0.0102,-0.0024
20031211,0.01344,,0.0134,0.0129,0.0021
20031212,0.00314,,0.0031,0.0054,0.003
20031215,-0.00726,,-0.0073,-0.013999999999999999,0.0015
20031216,0.00504,,0.005,-0.0034,0.0
20031217,0.0015400000000000001,,0.0015,-0.0007,-0.0012
20031218,0.01244,,0.0124,0.0029,0.0023
20031219,-0.00036,,-0.0004,-0.0014,0.0038
20031222,0.00364,,0.0036,-0.0009,0.0046
20031223,0.00364,,0.0036,0.006999999999999999,-0.0006
20031224,-0.0017599999999999998,,-0.0018,-0.0023,0.0013
20031226,0.00194,,0.0019,0.0034,0.0006
20031229,0.01294,,0.0129,0.0039,-0.0003
20031230,0.00054,,0.0005,0.0024,0.0015
20031231,0.00014000000000000001,,0.0001,-0.0139,0.0003
20040102,-0.0016699999999999998,,-0.0017,0.0082,0.0044
20040105,0.01203,,0.012,0.0043,0.0003
20040106,0.00203,,0.002,0.0011,0.002
20040107,0.00343,,0.0034,0.0051,-0.0007
20040108,0.004529999999999999,,0.0045,0.0035,0.0066
20040109,-0.00717,,-0.0072,0.0004,0.0022
20040112,0.00573,,0.0057,0.0091,0.0006
20040113,-0.005070000000000001,,-0.0051,0.0019,0.0009
20040114,0.00803,,0.008,-0.0007,0.0039
20040115,0.0015300000000000001,,0.0015,0.0004,-0.0028
20040116,0.0072299999999999994,,0.0072,0.0011,0.0056
20040120,0.0015300000000000001,,0.0015,0.0119,0.0058
20040121,0.00643,,0.0064,-0.0112,0.0042
20040122,-0.00317,,-0.0032,-0.0062,0.0006
20040123,-0.00137,,-0.0014,0.0091,-0.0028
20040126,0.01123,,0.0112,-0.001,-0.0033
20040127,-0.009569999999999999,,-0.0096,-0.0005,0.0003
20040128,-0.014369999999999999,,-0.0144,-0.0034,-0.0044
20040129,0.00253,,0.0025,-0.0096,-0.0084
20040130,-0.00147,,-0.0015,0.003,0.0038
20040202,0.0027300000000000002,,0.0027,-0.0031,-0.0027
20040203,2.9999999999999997e-05,,0.0,-0.0015,-0.0017
20040204,-0.00967,,-0.0097,-0.0157,-0.0053
20040205,0.00233,,0.0023,0.0044,0.0024
20040206,0.01393,,0.0139,0.0108,0.0038
20040209,-0.00097,,-0.001,0.0037,0.0022
20040210,0.00563,,0.0056,0.0058,0.0013
20040211,0.01043,,0.0104,-0.0039,0.0018
20040212,-0.00457,,-0.0046,-0.0014,-0.0016
20040213,-0.0056700000000000006,,-0.0057,-0.0071,-0.0017
20040217,0.00983,,0.0098,0.0034,0.0054
20040218,-0.0038699999999999997,,-0.0039,-0.0008,0.0004
20040219,-0.005370000000000001,,-0.0054,-0.0102,-0.0007
20040220,-0.00297,,-0.003,-0.0009,-0.0036
20040223,-0.005070000000000001,,-0.0051,-0.0122,-0.0014
20040224,-0.00137,,-0.0014,0.0033,-0.0028
20040225,0.00543,,0.0054,0.0053,0.0017
20040226,0.00293,,0.0029,0.0048,0.0036
20040227,0.0011300000000000001,,0.0011,0.0019,0.0036
20040301,0.01024,,0.0102,0.0052,0.0026
20040302,-0.00586,,-0.0059,-0.0012,0.002
20040303,0.00144,,0.0014,-0.002,-0.0021
20040304,0.00444,,0.0044,0.008,0.0021
20040305,0.00244,,0.0024,-0.001,-0.002
20040308,-0.00836,,-0.0084,-0.0036,0.0022
20040309,-0.00656,,-0.0066,-0.0043,-0.0034
20040310,-0.01496,,-0.015,-0.0028,-0.0046
20040311,-0.01416,,-0.0142,0.0035,-0.0013
20040312,0.01344,,0.0134,0.0102,0.0022
20040315,-0.01556,,-0.0156,-0.0109,-0.0025
20040316,0.00434,,0.0043,-0.0062,-0.001
20040317,0.012240000000000001,,0.0122,0.0071,0.0047
20040318,-0.00196,,-0.002,-0.0052,0.0013
20040319,-0.00996,,-0.01,0.0033,0.0025
20040322,-0.01416,,-0.0142,-0.0067,-0.0021
20040323,-0.00086,,-0.0009,0.0037,0.0003
20040324,-0.00266,,-0.0027,-0.0007,-0.0013
20040325,0.016839999999999997,,0.0168,0.0078,-0.0026
20040326,4e-05,,0.0,0.0034,0.0039
20040329,0.01344,,0.0134,0.0057,-0.0022
20040330,0.00474,,0.0047,0.0043,0.0024
20040331,4e-05,,0.0,0.0013,0.0017
20040401,0.00644,,0.0064,0.0026,0.0
20040402,0.009040000000000001,,0.009000000000000001,0.0083,0.0009
20040405,0.007940000000000001,,0.0079,0.0011,-0.0029
20040406,-0.00276,,-0.0028,-0.0077,0.0022
20040407,-0.00496,,-0.005,0.0093,-0.0018
20040408,-0.0013599999999999999,,-0.0014,-0.003,0.0013
20040412,0.00504,,0.005,0.0024,-0.0029
20040413,-0.01496,,-0.015,-0.0058,-0.004
20040414,-0.0020599999999999998,,-0.0021,-0.003,-0.0044
20040415,-0.00036,,-0.0004,-0.0026,-0.0037
20040416,0.00464,,0.0046,-0.0009,0.0015
20040419,0.0022400000000000002,,0.0022,0.0052,-0.0033
20040420,-0.01476,,-0.0148,-0.0028,0.0013
20040421,0.00604,,0.006,0.0048,0.0009
20040422,0.01444,,0.0144,0.0007,0.0003
20040423,-6e-05,,-0.0001,-0.0026,-0.0006
20040426,-0.00326,,-0.0033,-0.0006,-0.0027
20040427,0.00134,,0.0013,-0.001,-0.0007
20040428,-0.01456,,-0.0146,-0.0092,-0.0014
20040429,-0.00856,,-0.0086,-0.0083,-0.0066
20040430,-0.00656,,-0.0066,-0.0083,-0.0002
20040503,0.008530000000000001,,0.0085,0.0002,-0.0036
20040504,0.00213,,0.0021,0.0044,0.0017
20040505,0.0027300000000000002,,0.0027,-0.001,-0.0025
20040506,-0.00797,,-0.008,-0.0041,-0.0023
20040507,-0.01477,,-0.0148,-0.0063,-0.0053
20040510,-0.01287,,-0.0129,-0.0053,-0.005
20040511,0.00953,,0.0095,0.0087,0.0017
20040512,0.00123,,0.0012,-0.0025,-0.0003
20040513,-0.0007700000000000001,,-0.0008,-0.0026,0.0002
20040514,-0.0016699999999999998,,-0.0017,-0.0064,-0.0004
20040517,-0.011269999999999999,,-0.0113,-0.0042,-0.0036
20040518,0.00763,,0.0076,0.0036,0.0037
20040519,-0.00187,,-0.0019,0.0004,0.0048
20040520,0.00023,,0.0002,-0.0014,0.001
20040521,0.00443,,0.0044,0.0044,-0.0001
20040524,0.00293,,0.0029,0.0069,0.0058
20040525,0.01663,,0.0166,0.0057,0.0006
20040526,0.00293,,0.0029,0.0013,0.0001
20040527,0.00513,,0.0051,-0.003,-0.0009
20040528,0.00023,,0.0002,-0.0002,0.001
20040601,0.00144,,0.0014,0.0066,-0.0004
20040602,0.00314,,0.0031,-0.0025,-0.0017
20040603,-0.008960000000000001,,-0.009000000000000001,-0.0097,-0.0008
20040604,0.00574,,0.0057,0.0037,0.0006
20040607,0.015739999999999997,,0.0157,0.0018,0.0035
20040608,0.00084,,0.0008,-0.0018,-0.0006
20040609,-0.01036,,-0.0104,-0.0052,0.0002
20040610,0.00364,,0.0036,-0.0031,0.0037
20040614,-0.01046,,-0.0105,-0.0056,-0.0054
20040615,0.0071400000000000005,,0.0071,0.0102,0.0021
20040616,0.00144,,0.0014,0.0019,0.0005
20040617,-0.0013599999999999999,,-0.0014,-0.0001,0.0012
20040618,0.00194,,0.0019,-0.002,0.0023
20040621,-0.00416,,-0.0042,0.001,0.0015
20040622,0.00384,,0.0038,0.0023,0.0006
20040623,0.009040000000000001,,0.009000000000000001,0.0054,0.0021
20040624,-0.00226,,-0.0023,0.0003,0.0017
20040625,-0.00226,,-0.0023,0.0125,0.0009
20040628,-0.00246,,-0.0025,-0.0005,-0.0017
20040629,0.00314,,0.0031,0.0059,-0.0002
20040630,0.00484,,0.0048,0.0011,0.003
20040701,-0.01055,,-0.0106,-0.005,0.0055
20040702,-0.00275,,-0.0028,0.0019,0.0037
20040706,-0.00935,,-0.0094,-0.0089,0.0103
20040707,0.00155,,0.0015,-0.0033,0.0025
20040708,-0.00955,,-0.0096,-0.0094,0.0026
20040709,0.00315,,0.0031,0.0016,-0.0012
20040712,0.00045000000000000004,,0.0004,-0.0047,0.0039
20040713,0.00095,,0.0009,0.0005,0.0014
20040714,-0.00325,,-0.0033,-0.0033,0.005
20040715,-0.00315,,-0.0032,0.0064,0.0006
20040716,-0.00555,,-0.0056,-0.0073,0.0066
20040719,-0.00115,,-0.0012,-0.0025,0.0059
20040720,0.00835,,0.0083,0.0091,-0.008
20040721,-0.01485,,-0.0149,-0.0121,0.0074
20040722,0.00145,,0.0014,-0.0046,-0.0054
20040723,-0.01025,,-0.0103,-0.0045,0.0083
20040726,-0.0038499999999999997,,-0.0039,-0.0071,0.0024
20040727,0.01105,,0.011000000000000001,0.0099,-0.0048
20040728,-0.00085,,-0.0009,-0.0064,0.0036
20040729,0.00665,,0.0066,0.0092,-0.0047
20040730,0.00145,,0.0014,0.0021,-0.0032
20040802,0.00365,,0.0036,-0.0044,0.0027
20040803,-0.00745,,-0.0075,-0.0087,0.008
20040804,-0.0019500000000000001,,-0.002,0.0004,0.0001
20040805,-0.016249999999999997,,-0.0163,-0.002,0.0046
20040806,-0.01585,,-0.0159,-0.009000000000000001,0.0073
20040809,0.00025,,0.0002,-0.0037,0.0002
